date,symbol,discount_pct,days_to_maturity,liquidity_bucket,decision_flag
2026-02-26,NIBSF2,-7.57,1918,medium,IGNORE
2026-02-26,NICBF,-4.28,1278,low,IGNORE
2026-02-26,NICFC,-5.59,1205,high,CONSIDER
2026-02-26,NICGF2,-9.07,1728,medium,IGNORE
2026-02-26,NICSF,-5.45,860,medium,CONSIDER
2026-02-26,NMB50,-0.19,187,low,IGNORE
2026-02-26,NMBHF2,-9.26,3288,medium,IGNORE
2026-02-26,NSIF2,-8.68,2379,medium,IGNORE
2026-02-26,PRSF,-8.06,2208,low,IGNORE
2026-02-26,PSF,-8.4,846,medium,CONSIDER
2026-02-26,RBBF40,-5.12,4277,medium,IGNORE
2026-02-26,RMF1,-3.99,878,high,IGNORE
2026-02-26,RMF2,-8.4,2641,medium,IGNORE
2026-02-26,RSY,-6.1,3352,high,IGNORE
2026-02-26,SAGF,-5.53,2831,medium,IGNORE
2026-02-26,SBCF,-17.55,1854,low,IGNORE
2026-02-26,SEF,-4.49,620,medium,CONSIDER
2026-02-26,SFEF,-14.35,2177,high,IGNORE
2026-02-26,SFMF,-9.2,1347,medium,CONSIDER
2026-02-26,SIGS2,-6.92,1277,high,CONSIDER
2026-02-26,SIGS3,-4.36,2620,medium,IGNORE
2026-02-26,SLCF,-4.55,727,medium,CONSIDER
2026-03-01,C30MF,-7.36,2631,medium,IGNORE
2026-03-01,CMF2,-0.49,129,low,IGNORE
2026-03-01,GBIMESY2,-7.77,3426,medium,IGNORE
2026-03-01,GIBF1,-9.76,2341,low,IGNORE
2026-03-01,GSY,-8.58,3229,high,IGNORE
2026-03-01,H8020,-4.13,2771,medium,IGNORE
2026-03-01,HLICF,-4.92,3485,low,IGNORE
2026-03-01,KDBY,-9.33,2338,medium,IGNORE
2026-03-01,KEF,-8.93,1843,medium,IGNORE
2026-03-01,KSY,-8.38,2940,medium,IGNORE
2026-03-01,LUK,-15.95,1627,medium,IGNORE
2026-03-01,LVF2,-15.86,2743,medium,IGNORE
2026-03-01,MBLEF,-8.14,4044,high,IGNORE
2026-03-01,MMF1,-3.44,2017,high,IGNORE
2026-03-01,MNMF1,-6.74,3215,medium,IGNORE
2026-03-01,NBF2,-8.54,1187,high,CONSIDER
2026-03-01,NBF3,-7.65,2032,medium,IGNORE
2026-03-01,NIBLGF,-0.82,2514,high,IGNORE
2026-03-01,NIBLSTF,-5.02,3630,medium,IGNORE
2026-03-01,NIBSF2,-6.11,1915,medium,IGNORE
2026-03-01,NICBF,-6.08,1275,low,IGNORE
2026-03-01,NICFC,-5.79,1202,low,IGNORE
2026-03-01,NICGF2,-7.3,1725,medium,IGNORE
2026-03-01,NICSF,-3.67,857,high,IGNORE
2026-03-01,NMB50,-1.84,184,medium,IGNORE
2026-03-01,NMBHF2,-8.78,3285,high,IGNORE
2026-03-01,NSIF2,-8.08,2376,high,IGNORE
2026-03-01,PRSF,-8.79,2205,low,IGNORE
2026-03-01,PSF,-9.64,843,medium,CONSIDER
2026-03-01,RBBF40,-4.24,4274,low,IGNORE
2026-03-01,RMF1,-2.79,875,high,IGNORE
